OrderID,Order Date,Customer ID,Product Name,Category,Quantity,Unit Price
1001,2024-07-15,CUST-A,Laptop,Electronics,1,1200
1002,2024-07-22,CUST-B,Keyboard,Electronics,2,75
1003,2024-08-05,CUST-A,Monitor,Electronics,1,300
1004,2024-08-18,CUST-C,T-Shirt,Clothing,5,25
1005,2024-09-01,CUST-D,Coffee Mug,Home Goods,8,15
1006,2024-09-15,CUST-B,Laptop,Electronics,1,1150
1007,2024-10-01,CUST-E,Jeans,Clothing,3,55
1008,2024-10-12,CUST-A,Webcam,Electronics,2,50
1009,2024-10-28,CUST-F,Desk Chair,Furniture,1,250
1010,2024-11-05,CUST-C,Hoodie,Clothing,4,45
1011,2024-11-18,CUST-G,Keyboard,Electronics,1,80
1012,2024-12-02,CUST-D,Coffee Mug,Home Goods,12,15
1013,2024-12-16,CUST-H,Monitor,Electronics,1,310
1014,2024-12-27,CUST-E,T-Shirt,Clothing,6,25
1015,2025-01-10,CUST-A,Laptop Bag,Accessories,3,60
1016,2025-01-25,CUST-I,Mouse,Electronics,4,20
1017,2025-02-08,CUST-C,Socks,Clothing,7,10
1018,2025-02-20,CUST-J,Dinner Plate,Home Goods,6,12
1019,2025-03-05,CUST-B,Wireless Mouse,Electronics,3,35
1020,2025-03-19,CUST-K,Sweater,Clothing,2,65
1021,2024-07-05,CUST-L,Tea Kettle,Home Goods,2,30
1022,2024-07-29,CUST-E,Office Desk,Furniture,1,350
1023,2024-08-12,CUST-F,Dress Pants,Clothing,4,70
1024,2024-08-25,CUST-G,Pillow,Home Goods,3,20
1025,2024-09-08,CUST-H,External Hard Drive,Electronics,2,90
1026,2024-09-22,CUST-I,Scarf,Clothing,5,18
1027,2024-10-05,CUST-J,Cutting Board,Home Goods,3,25
1028,2024-10-19,CUST-K,Ergonomic Mouse,Electronics,2,45
1029,2024-11-01,CUST-L,Blouse,Clothing,3,30
1030,2024-11-15,CUST-M,Picture Frame,Home Goods,7,10
1031,2024-11-29,CUST-N,Tablet,Electronics,1,300
1032,2024-12-10,CUST-O,Gloves,Clothing,8,20
1033,2024-12-22,CUST-P,Bowl Set,Home Goods,2,40
1034,2025-01-05,CUST-Q,Gaming Mouse,Electronics,2,60
1035,2025-01-18,CUST-R,Jacket,Clothing,3,80
1036,2025-02-01,CUST-S,Spatula,Home Goods,9,8
1037,2025-02-15,CUST-T,Headphones,Electronics,1,150
1038,2025-02-28,CUST-U,Skirt,Clothing,4,35
1039,2025-03-12,CUST-V,Mixing Bowls,Home Goods,2,35
1040,2024-07-10,CUST-W,USB Drive,Electronics,10,12
1041,2024-07-31,CUST-X,Leggings,Clothing,6,28
1042,2024-08-15,CUST-Y,Serving Spoon,Home Goods,5,15
1043,2024-08-28,CUST-Z,Soundbar,Electronics,1,200
1044,2024-09-10,CUST-AA,Dress,Clothing,2,75
